,Palabra,Palabras Clave,Resumen,TÃ­tulo
0,mathemat,674,1220,712
1,teacher,372,762,398
2,student,136,1012,362
3,educ,441,837,209
4,studi,57,1069,137
5,learn,235,728,220
6,teach,199,619,190
7,research,60,795,54
8,school,133,599,175
9,develop,77,616,117
10,analysi,69,539,78
11,result,1,655,12
12,scienc,108,415,121
13,knowledg,120,375,88
14,practic,93,386,87
15,2020,1,531,2
16,problem,103,323,104
17,understand,30,422,73
18,model,119,311,93
19,data,15,486,17
20,differ,8,484,23
21,author,5,490,5
22,design,55,371,48
23,technolog,63,363,46
24,find,1,455,9
25,classroom,47,327,85
26,group,16,416,15
27,approach,35,350,61
28,show,1,438,1
29,investig,5,387,41
30,activ,45,327,60
31,discuss,13,402,14
32,support,10,360,58
33,relat,14,358,51
34,present,1,406,4
35,task,53,293,63
36,process,36,326,42
37,reason,94,232,69
38,concept,34,294,64
39,particip,13,366,10
40,instruct,67,264,57
41,examin,2,338,35
42,base,7,344,21
43,effect,14,290,64
44,work,21,313,30
45,explor,3,296,60
46,experi,22,295,38
47,univers,25,282,39
48,secondari,67,203,75
49,preservic,85,148,111
50,context,18,273,49
51,think,75,202,59
52,level,21,282,31
53,profession,91,189,51
54,three,1,315,12
55,case,18,215,95
56,assess,64,206,56
57,analyz,1,296,10
58,theori,81,199,27
59,content,44,236,26
60,identifi,1,297,6
61,cours,14,244,41
62,gener,25,246,22
63,need,6,272,11
64,solv,41,192,53
65,interview,11,260,7
66,qualit,20,243,8
67,natur,16,240,12
68,method,20,225,21
69,elementari,68,130,64
70,implement,15,219,28
71,import,1,258,2
72,collect,4,249,6
73,year,7,224,27
74,role,9,198,43
75,grade,11,207,31
76,curriculum,66,148,33
77,achiev,38,163,42
78,high,25,179,39
79,question,13,219,11
80,construct,14,194,33
81,skill,32,177,31
82,number,38,158,41
83,make,7,216,14
84,improv,3,204,29
85,structur,27,183,25
86,commun,40,164,30
87,primari,52,131,48
88,framework,17,183,29
89,strategi,31,164,33
90,conceptu,33,161,34
91,algebra,65,114,49
92,reflect,19,188,21
93,integr,34,155,39
94,inform,12,199,11
95,chang,21,176,25
96,lesson,27,162,30
97,limit,5,207,7
98,perform,15,178,26
99,within,1,197,20
100,focus,3,205,9
